action,threshold,n,n_tp,n_fp,n_fn,n_tn,cost_tp,cost_fp,cost_fn,cost_tn,cost_tp_counterfactual,total_cost,do_nothing_cost,savings,n_flagged,flag_rate,precision,recall
remove_cod,0.19,7511,903,2268,417,3923,8259647.8608,6995624.06844,5177576.16,0.0,23586093.888,20432848.08924,28763670.048000004,8330821.9587600045,3171,0.42218080149114634,0.2847682119205298,0.6840909090909091
remove_cod,0.192617,7511,902,2268,418,3923,8257293.5600000005,6995624.06844,5184288.448,0.0,23579381.6,20437206.07644,28763670.048000004,8326463.971560005,3170,0.42204766342697375,0.28454258675078864,0.6833333333333333
remove_cod,0.19305,7511,902,2268,418,3923,8257293.5600000005,6995624.06844,5184288.448,0.0,23579381.6,20437206.07644,28763670.048000004,8326463.971560005,3170,0.42204766342697375,0.28454258675078864,0.6833333333333333
remove_cod,0.197339,7511,818,1946,502,4245,7896717.2096,6158611.6984,6213306.592,0.0,22550363.456,20268635.5,28763670.048000004,8495034.548000004,2764,0.3679936093729197,0.2959479015918958,0.6196969696969697
remove_cod,0.2,7511,818,1946,502,4245,7896717.2096,6158611.6984,6213306.592,0.0,22550363.456,20268635.5,28763670.048000004,8495034.548000004,2764,0.3679936093729197,0.2959479015918958,0.6196969696969697
remove_cod,0.206452,7511,767,1769,553,4422,7646439.149599999,5783992.21672,6927658.192000001,0.0,21836011.856,20358089.55832,28763670.048000004,8405580.489680003,2536,0.337638130741579,0.3024447949526814,0.581060606060606
remove_cod,0.21,7511,767,1769,553,4422,7646439.149599999,5783992.21672,6927658.192000001,0.0,21836011.856,20358089.55832,28763670.048000004,8405580.489680003,2536,0.337638130741579,0.3024447949526814,0.581060606060606
remove_cod,0.219626,7511,767,1769,553,4422,7646439.149599999,5783992.21672,6927658.192000001,0.0,21836011.856,20358089.55832,28763670.048000004,8405580.489680003,2536,0.337638130741579,0.3024447949526814,0.581060606060606
remove_cod,0.22,7511,465,796,855,5395,5321906.6855999995,3374659.1241200003,13564865.232,0.0,15198804.816,22261431.041720003,28763670.048000004,6502239.006280001,1261,0.16788709892158168,0.3687549563838224,0.3522727272727273
remove_cod,0.23,7511,465,795,855,5396,5321906.6855999995,3372564.6837600004,13564865.232,0.0,15198804.816,22259336.60136,28763670.048000004,6504333.4466400035,1260,0.16775396085740912,0.36904761904761907,0.3522727272727273
remove_cod,0.24,7511,465,793,855,5398,5321906.6855999995,3367304.3318000003,13564865.232,0.0,15198804.816,22254076.2494,28763670.048000004,6509593.798600003,1258,0.16748768472906403,0.3696343402225755,0.3522727272727273
remove_cod,0.246377,7511,448,731,872,5460,5224958.2336,3216075.32944,13841617.952,0.0,14922052.096,22282651.51504,28763670.048000004,6481018.532960005,1179,0.15696977765943282,0.3799830364715861,0.3393939393939394
remove_cod,0.25,7511,448,731,872,5460,5224958.2336,3216075.32944,13841617.952,0.0,14922052.096,22282651.51504,28763670.048000004,6481018.532960005,1179,0.15696977765943282,0.3799830364715861,0.3393939393939394
remove_cod,0.26,7511,448,731,872,5460,5224958.2336,3216075.32944,13841617.952,0.0,14922052.096,22282651.51504,28763670.048000004,6481018.532960005,1179,0.15696977765943282,0.3799830364715861,0.3393939393939394
remove_cod,0.27,7511,448,731,872,5460,5224958.2336,3216075.32944,13841617.952,0.0,14922052.096,22282651.51504,28763670.048000004,6481018.532960005,1179,0.15696977765943282,0.3799830364715861,0.3393939393939394
remove_cod,0.28,7511,448,729,872,5462,5224958.2336,3211991.91828,13841617.952,0.0,14922052.096,22278568.10388,28763670.048000004,6485101.944120005,1177,0.15670350153108772,0.3806287170773152,0.3393939393939394
remove_cod,0.29,7511,448,729,872,5462,5224958.2336,3211991.91828,13841617.952,0.0,14922052.096,22278568.10388,28763670.048000004,6485101.944120005,1177,0.15670350153108772,0.3806287170773152,0.3393939393939394
remove_cod,0.29703,7511,396,604,924,5587,4776208.5864,2697134.0702,15123016.943999998,0.0,13640653.104000002,22596359.600599997,28763670.048000004,6167310.447400007,1000,0.13313806417254692,0.396,0.3
remove_cod,0.3,7511,396,604,924,5587,4776208.5864,2697134.0702,15123016.943999998,0.0,13640653.104000002,22596359.600599997,28763670.048000004,6167310.447400007,1000,0.13313806417254692,0.396,0.3
remove_cod,0.31,7511,396,604,924,5587,4776208.5864,2697134.0702,15123016.943999998,0.0,13640653.104000002,22596359.600599997,28763670.048000004,6167310.447400007,1000,0.13313806417254692,0.396,0.3
remove_cod,0.310345,7511,366,511,954,5680,4535743.2888,2393545.53284,15809632.08,0.0,12954037.968000002,22738920.901639998,28763670.048000004,6024749.146360006,877,0.11676208227932366,0.41733181299885974,0.2772727272727273
remove_cod,0.314917,7511,366,511,954,5680,4535743.2888,2393545.53284,15809632.08,0.0,12954037.968000002,22738920.901639998,28763670.048000004,6024749.146360006,877,0.11676208227932366,0.41733181299885974,0.2772727272727273
remove_cod,0.32,7511,274,311,1046,5880,3436402.2664,1690013.85208,18949292.144,0.0,9814377.904000001,24075708.262480002,28763670.048000004,4687961.785520002,585,0.07788576754093995,0.4683760683760684,0.20757575757575758
remove_cod,0.33,7511,274,311,1046,5880,3436402.2664,1690013.85208,18949292.144,0.0,9814377.904000001,24075708.262480002,28763670.048000004,4687961.785520002,585,0.07788576754093995,0.4683760683760684,0.20757575757575758
remove_cod,0.34,7511,274,311,1046,5880,3436402.2664,1690013.85208,18949292.144,0.0,9814377.904000001,24075708.262480002,28763670.048000004,4687961.785520002,585,0.07788576754093995,0.4683760683760684,0.20757575757575758
remove_cod,0.35,7511,274,311,1046,5880,3436402.2664,1690013.85208,18949292.144,0.0,9814377.904000001,24075708.262480002,28763670.048000004,4687961.785520002,585,0.07788576754093995,0.4683760683760684,0.20757575757575758
remove_cod,0.350877,7511,274,311,1046,5880,3436402.2664,1690013.85208,18949292.144,0.0,9814377.904000001,24075708.262480002,28763670.048000004,4687961.785520002,585,0.07788576754093995,0.4683760683760684,0.20757575757575758
remove_cod,0.36,7511,154,119,1166,6072,2179879.9288000003,742013.51392,22537641.68,0.0,6226028.368000001,25459535.12272,28763670.048000004,3304134.9252800047,273,0.036346691519105315,0.5641025641025641,0.11666666666666667
remove_cod,0.37,7511,154,118,1166,6073,2179879.9288000003,740271.6795200001,22537641.68,0.0,6226028.368000001,25457793.28832,28763670.048000004,3305876.759680003,272,0.03621355345493277,0.5661764705882353,0.11666666666666667
remove_cod,0.38,7511,154,118,1166,6073,2179879.9288000003,740271.6795200001,22537641.68,0.0,6226028.368000001,25457793.28832,28763670.048000004,3305876.759680003,272,0.03621355345493277,0.5661764705882353,0.11666666666666667
remove_cod,0.39,7511,154,117,1166,6074,2179879.9288000003,738630.1814400001,22537641.68,0.0,6226028.368000001,25456151.79024,28763670.048000004,3307518.257760003,271,0.03608041539076022,0.5682656826568265,0.11666666666666667
remove_cod,0.392799,7511,154,117,1166,6074,2179879.9288000003,738630.1814400001,22537641.68,0.0,6226028.368000001,25456151.79024,28763670.048000004,3307518.257760003,271,0.03608041539076022,0.5682656826568265,0.11666666666666667
remove_cod,0.4,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.41,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.42,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.43,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.44,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.45,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.46,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.47,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.48,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.49,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.5,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.51,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.52,7511,153,117,1167,6074,2176468.404,738630.1814400001,22547374.608000003,0.0,6216295.440000001,25462473.19344,28763670.048000004,3301196.8545600027,270,0.03594727732658767,0.5666666666666667,0.1159090909090909
remove_cod,0.53,7511,152,117,1168,6074,2172009.416,738630.1814400001,22560100.288000003,0.0,6203569.760000001,25470739.885440003,28763670.048000004,3292930.162560001,269,0.035814139262415126,0.5650557620817844,0.11515151515151516
remove_cod,0.54,7511,152,117,1168,6074,2172009.416,738630.1814400001,22560100.288000003,0.0,6203569.760000001,25470739.885440003,28763670.048000004,3292930.162560001,269,0.035814139262415126,0.5650557620817844,0.11515151515151516
remove_cod,0.54023,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.55,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.56,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.57,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.58,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.59,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.6,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.61,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.62,7511,64,30,1256,6161,1190354.3895999999,323289.7335600001,25363571.792000003,0.0,3400098.256,26877215.915160004,28763670.048000004,1886454.13284,94,0.01251497803221941,0.6808510638297872,0.048484848484848485
remove_cod,0.63,7511,64,29,1256,6162,1190354.3895999999,322170.55588000006,25363571.792000003,0.0,3400098.256,26876096.737480003,28763670.048000004,1887573.3105200008,93,0.012381839968046865,0.6881720430107527,0.048484848484848485
remove_cod,0.630435,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.64,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.65,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.66,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.67,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.68,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.69,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.7,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.71,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.72,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.73,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.74,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.75,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.76,7511,13,6,1307,6185,426560.6416,39295.317,27545111.072000004,0.0,1218558.9760000003,28010967.030600004,28763670.048000004,752703.0174000002,19,0.002529623219278392,0.6842105263157895,0.009848484848484848
remove_cod,0.77,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.78,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.79,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.8,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.81,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.82,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.83,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.84,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.85,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.86,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
remove_cod,0.87,7511,12,6,1308,6185,417637.20479999995,39295.317,27570592.32,0.0,1193077.7280000001,28027524.8418,28763670.048000004,736145.2062000036,18,0.0023964851551058447,0.6666666666666666,0.00909090909090909
